Id_Client;Date_appel;Heure_appel;No_appelant;No_appele;Id_Direction;Id_Produit;Id_Distance;Duree
123456;12/01/2003;10:55;4625486219;645889545;5;1;1;150
123456;12/01/2003;;625486219;145789615;2;3;3;1
123456;17/01/2003;14:47;245796485;625486219;;2;4;1
123456;17/01/2003;22:58;625486219;624759631;2;2;2;49
123456;22/01/2003;16:14;314578902;625486219;1;1;3;74
234567;15/01/2003;01:25;615151515;645889545;1;1;1;145
234567;20/01/2003;03:59;4,55556E+27;645889545;1;1;5;315
234567;;15:48;645889545;145795862;2;1;4;25
234567;29/01/2003;09:45;645889545;625486219;2;2;1;1
456789;12/01/2003;01:01;612312345;666554433;;1;1;154
456789;17/01/2003;;648912475;666554433;1;1;2;346
456789;25/01/2003;04:18;666554433;648912475;2;2;2;1
456789;30/01/2003;23:16;666554433;648912475;2;1;2;95
224688;31/01/2003;10:57;548967125;666778899;1;;4;148
224688;03/01/2003;15:39;5,48962E+14;666778899;1;1;3;78
224688;;15:52;612312345;666778899;1;2;1;1
224688;09/01/2003;23:00;666778899;548967125;2;1;4;150
224688;11/01/2003;;666778899;614759648;2;2;2;1
224688;15/01/2003;02:30;666778899;0548-----------967125;2;3;3;1
224688;18/01/2003;04:01;666778899;612312345;2;1;1;135
355557;24/01/2003;16:02;615151515;655446655;1;1;;256
355557;26/01/2003;10:50;664972835;655446655;1;1;2;948
355557;18/01/2003;01:03;664972844;655446655;1;2;2;1
355557;30/01/2003;10:52;655446655;4946497;2;1;5;145
958462;24/01/2003;05:23;699887766;247965814;;3;4;1
958462;27/01/2003;23:18;612312345;699887766;1;1;1;248
121212;01/01/2003;11:04;646728913;612312345;;1;2;648
121212;14/01/2003;15:39;646728914;612312345;1;2;2;-9
121212;23/01/2003;15:43;612312345;627273838;2;1;1;254
121212;28/01/2003;23:23;612312345;415548967;2;555555;5;1
773377;02/01/2003;18:02;627273838;611223344;1;1;;694
876543;13/01/2003;04:13;635483548;622446688;1;1;2;425
876543;16/01/2003;07:57;627273838;622446688;1;1;1;348
876543;16/01/2003;21:29;622446688;635483548;;1;2;648
876543;22/01/2003;16:26;622446688;33145784875;2;3;5;1
876543;05/01/2003;10:42;622446688;627273838;2;1;1;248
876543;31/01/2003;18:31;622446688;635483548;2;1;2;1045
876543;24/01/2003;04:27;622446688;627273838;2;2;1;1
876543;16/01/2003;23:30;627273838;622446688;1;2;1;1
876543;18/01/2003;11:53;635483548;622446688;1;1;2;318
654321;07/01/2003;16:04;49487569;611223344;1;1;5;-9
654321;04/01/2003;17:40;699887766;611223344;1;2;1;1
654321;19/01/2003;01:48;699887766;611223344;1;1;1;964
654321;21/01/2003;20:26;645889545;611223344;1;1;1;478
654321;06/01/2003;08:11;611223344;654789658;2;1;2;1845
654321;13/01/2003;10:42;611223344;664849452;2;2;2;1
654321;16/01/2003;01:43;611223344;345784875;2;3;4;1
654321;24/01/2003;18:43;611223344;699887766;2;1;1;314
654321;26/01/2003;01:12;611223344;645889545;2;1;1;695
654321;17/01/2003;11:06;611223344;654789658;2;1;2;148
654321;22/01/2003;06:19;611223344;345784875;2;3;4;1
654321;15/01/2003;23:43;622446688;611223344;1;1;1;318
654321;20/01/2003;12:43;622446688;611223344;1;1;1;648
444333;18/01/2003;18:13;684758475;615151515;1;1;2;145
444333;29/01/2003;18:45;684758476;615151515;1;2;2;1
444333;12/01/2003;04:39;684758477;615151515;1;1;2;364
444333;15/01/2003;22:55;457894875;615151515;1;1;5;1520
444333;18/01/2003;11:06;214578946;615151515;1;1;3;648
444333;24/01/2003;11:52;664648585;615151515;1;2;2;1
444333;26/01/2003;15:57;615151515;214578946;2;1;3;315
444333;18/01/2003;09:59;615151515;684758477;2;2;2;1
666999;05/01/2003;01:10;669696969;134897568;2;3;3;1
666999;04/01/2003;10:52;669696969;666554433;2;1;1;1248
666999;17/01/2003;05:14;669696969;615151515;2;1;1;645
666999;24/01/2003;23:41;615151515;669696969;1;1;1;954
666999;17/01/2003;12:45;664648585;669696969;1;1;2;615
666999;29/01/2003;18:27;664648585;669696969;1;1;2;348
666999;03/01/2003;19:50;615151515;669696969;1;1;1;264
666999;18/01/2003;08:41;664648585;669696969;1;2;2;1
666999;01/01/2003;11:03;134897568;669696969;1;1;3;145
666999;02/01/2003;21:10;4464897514;669696969;1;1;5;964
666999;16/01/2003;08:42;4464897514;669696969;1;1;5;254
666999;21/01/2003;15:41;669696969;214576258;2;1;4;365
666999;16/01/2003;22:57;669696969;615151515;2;2;1;1
234555;22/01/2003;18:03;612345678;214579468;2;3;4;1
234555;18/01/2003;04:57;612345678;622446688;2;1;1;648
234555;26/01/2003;08:59;612345678;622446688;2;1;1;695
234555;04/01/2003;22:32;612345678;697154863;2;1;2;842
